title,tipo,ano,doi_id,file_bruto_name
Um problema não trivial de projécteis,artigos gerais,2004,10.1590/S1806-11172004000300004,1510.html
"A energia elétrica da Termodinâmica, a entalpia elétrica da Mecânica Estatística e as energias livres elétricas",artigos gerais,2004,10.1590/S1806-11172004000300005,1511.html
Simulação computacional de campos ultra-sônicos,artigos gerais,2004,10.1590/S1806-11172004000300006,1512.html
Usando sensores magnéticos em um trilho de ar,artigos gerais,2004,10.1590/S1806-11172004000300007,1513.html
Teoria fenomenológica do processo de relaxação dielétrica,artigos gerais,2004,10.1590/S0102-47442004000300008,1514.html
Processamento de imagens: conceitos básicos relacionados com o fenômeno de difração e uso de um computador óptico,artigos gerais,2004,10.1590/S1806-11172004000300009,1515.html
Uma discussão sobre as densidades de energia em ondas mecânicas unidimensionais,artigos gerais,2004,10.1590/S1806-11172004000300010,1516.html
Os objetivos do laboratório didático na visão dos alunos do curso de Licenciatura em Física da UNESP-Bauru,pesquisa em ensino de física,2004,10.1590/S0102-47442004000300011,1517.html
A Gravitação Universal: um texto para o Ensino Médio,história da física e ciências afins,2004,10.1590/S0102-47442004000300012,1518.html
Uma tradução comentada de um texto de Maxwell sobre a ação a distância,história da física e ciências afins,2004,10.1590/S0102-47442004000300013,1519.html
Forças de vínculo no caso holônomo,notas e discussões,2004,10.1590/S0102-47442004000300014,1520.html
Nota sobre os potenciais de uma carga em movimento,notas e discussões,2004,10.1590/S0102-47442004000300015,1521.html
O ano mundial da Física e o Edson,editorial,2004,,1522.html
"Por que, apesar do grande avanço da pesquisa acadêmica sobre ensino de Física no Brasil, ainda há pouca aplicação dos resultados em sala de aula?",carta ao editor,2004,10.1590/S1806-11172004000400002,1523.html
A aerodinâmica da bola de futebol,artigos gerais,2004,10.1590/S1806-11172004000400003,1524.html
"Elasticidade, plasticidade, histerese... e ondas",artigos gerais,2004,,1525.html
Super-redes semicondutoras: um laboratório de Mecânica Quântica,artigos gerais,2004,10.1590/S0102-47442004000400005,1526.html
Explorando recursos simples de informática e audiovisuais: uma experiência no ensino de Fluidos,artigos gerais,2004,10.1590/S0102-47442004000400006,1527.html
Oscilação quântica de sabores com pacotes de ondas,artigos gerais,2004,10.1590/S0102-47442004000400007,1528.html
Como o potencial vetor deve ser interpretado para revelar analogias entre grandezas magnéticas e elétricas,artigos gerais,2004,10.1590/S0102-47442004000400009,1529.html
A influência da simetria em sistemas de células acopladas,artigos gerais,2004,10.1590/S0102-47442004000400010,1530.html
Uma bifurcação sela-centro em campos Hamiltonianos planares,artigos gerais,2004,10.1590/S1806-11172004000400011,1531.html
"Células solares ""caseiras""",artigos gerais,2004,10.1590/S1806-11172004000400012,1532.html
A aproximação de campo médio de Bethe-Peierls,artigos gerais,2004,10.1590/S1806-11172004000400013,1533.html
Usando motores DC em experimentos de Física,artigos gerais,2004,10.1590/S1806-11172004000400015,1534.html
Entropia de cadeias dispostas numa rede unidimensional,artigos gerais,2004,10.1590/S1806-11172004000400016,1535.html
Invariante adiabático gerado por lenta variação de coordenada generalizada,artigos gerais,2004,10.1590/S1806-11172004000400017,1536.html
''LAB Fit ajuste de curvas'': um software em português para tratamento de dados experimentais,produtos e materiais didáticos,2004,10.1590/S1806-11172004000400018,1537.html
Um livro de Mecânica Quântica ansiosamente esperado,resenha,2004,10.1590/S1806-11172004000400019,1538.html
"Teoria final, unificação e reducionismo: opiniões da comunidade brasileira de física",artigos gerais,2003,10.1590/S1806-11172003000100001,1539.html
Sutilezas dos vínculos não-holônomos,artigos gerais,2003,10.1590/S0102-47442003000100003,1540.html
Partícula em um poço de potencial infinito e o método variacional de Monte Carlo,artigos gerais,2003,10.1590/S1806-11172003000100004,1541.html
Bobina de Helmholtz,artigos gerais,2003,10.1590/S1806-11172003000100005,1542.html
Uma medida de calor específico sem calorímetro,artigos gerais,2003,10.1590/S1806-11172003000100006,1543.html
Velocidade do som no ar: um experimento caseiro com microcomputador e balde d'água,artigos gerais,2003,10.1590/S1806-11172003000100009,1544.html
"Explicação qualitativa do ""anel de Thomson"": como ocorre a ""levitação magnética""?",artigos gerais,2003,10.1590/S1806-11172003000100010,1545.html
Indicadores para avaliação da formação e aproveitamento vocacional em ciências exatas: um estudo de caso,pesquisa em ensino de física,2003,10.1590/S0102-47442003000100012,1546.html
A função do movimento rotacional nas teorias dos pré-socráticos,história da física e ciências afins,2003,10.1590/S0102-47442003000100013,1547.html
Editorial,,2003,,1548.html
"Os problemas epistemológicos da realidade, da compreensibilidade e da causalidade na teoria quântica",artigos gerais,2003,10.1590/S0102-47442003000200002,1549.html
Introdução a programas físico-matemáticos livres,artigos gerais,2003,10.1590/S1806-11172003000200003,1550.html
"O número de manchas solares, índice da atividade do sol",artigos gerais,2003,10.1590/S0102-47442003000200004,1551.html
A maçã e o biscoito da sorte,artigos gerais,2003,10.1590/S0102-47442003000200005,1552.html
Limite clássico da mecânica quântica,artigos gerais,2003,10.1590/S0102-47442003000200006,1553.html
